city,cats,price,people,district,airport,electricity,water,label
Novi Sad,0.0,77776.29624516371,4.0,15,,-0.14094329340129946,0.4510630233234276,kvalitetan
Beograd,8.0,73247.81234594452,7.0,14,True,-0.12257772505743067,0.08750907321935361,kvalitetan
Nis,,72465.17316364872,,17,True,0.15395113943974065,-1.0478548631237932,nekvalitetan
Kragujevac,5.0,85494.25002386665,7.0,2,,-0.1968332736552035,0.4769843048545306,kvalitetan
Novi Sad,5.0,58999.47691730165,6.0,13,,0.16811773371385294,-0.2210464676594494,kvalitetan
Beograd,1.0,82580.12662205135,,10,True,-1.0755321957782296,0.07356478733184066,nekvalitetan
Nis,4.0,86374.54580239125,2.0,10,True,0.5288925224315628,-0.6439036656298746,nekvalitetan
Kragujevac,3.0,70372.34967929359,4.0,10,,-1.0392394382249248,0.14726345392267373,nekvalitetan
Novi Sad,7.0,76491.38115740856,,17,,0.4510534169793317,-0.2156145944754034,kvalitetan
Beograd,7.0,51496.47961573603,3.0,1,True,0.026470578000686557,0.1360164256523062,kvalitetan
Nis,9.0,79941.44985074864,3.0,10,True,-0.8758687517490572,0.5072046661440088,nekvalitetan
Kragujevac,,63384.23841860898,7.0,11,,0.49025104408035486,-0.7049324484116718,nekvalitetan
Novi Sad,5.0,54446.58702558048,0.0,4,,-0.0643032855888705,-0.20118366983074182,kvalitetan
Beograd,1.0,91701.56507750739,6.0,16,True,0.2732637613843529,0.49769560336441565,kvalitetan
Nis,2.0,87429.53554984223,7.0,10,True,0.4295932581624019,0.4871405031607172,kvalitetan
Kragujevac,,72180.33401656566,7.0,13,,-0.5884569559200619,0.9442389702134767,nekvalitetan
Novi Sad,9.0,68587.06042082803,5.0,5,,-0.18419481959898645,-0.02712067698751261,kvalitetan
Beograd,1.0,59380.50736374892,4.0,10,True,-0.34582759230157245,0.6942930716186708,nekvalitetan
Nis,9.0,54929.187652481945,4.0,14,True,-0.6711497300509319,-0.5058061210637212,nekvalitetan
Kragujevac,2.0,67202.80769851105,,4,,0.8040064318066764,-0.20170947749840928,nekvalitetan
Novi Sad,,70127.22918699385,5.0,5,,0.14810715874907607,-0.09732795075963058,kvalitetan
Beograd,7.0,72150.38811730445,,16,True,0.3290587631637682,-0.18903111870939848,kvalitetan
Nis,,71724.38154719638,4.0,18,True,0.7184690714241202,0.47839091899958464,nekvalitetan
Kragujevac,7.0,81760.66996012992,3.0,0,,0.529834061747271,-0.16759346149610926,kvalitetan
Novi Sad,3.0,54444.057883391455,,12,,0.15000828504412764,-0.06720940332168296,kvalitetan
Beograd,3.0,74007.37473606311,2.0,16,True,0.45226229714919547,0.9055932248075104,nekvalitetan
Nis,7.0,72741.92222723365,4.0,3,True,-0.7936867638748476,0.6090451540346689,nekvalitetan
Kragujevac,8.0,69904.51220245344,5.0,12,,-0.2178900099727458,0.11413806953078284,kvalitetan
Novi Sad,0.0,64895.35890766717,1.0,2,,0.12393475510294574,-0.24173066464479948,kvalitetan
Beograd,6.0,50441.1052838867,0.0,12,True,-0.09474372737878962,-0.022160287535231915,kvalitetan
Nis,7.0,74673.24610312309,,14,True,0.20075903407285312,-0.4271418052327177,kvalitetan
